t ETA DistanceRemaining
48.735 4.254416128 0.8940344452857971
48.803 4.0432746 0.8440344333648682
48.905 3.994743082 0.8440344333648682
48.973 3.852477835 0.8190344572067261
49.041 3.877820576 0.8190344572067261
49.109 3.734990625 0.794034481048584
49.211 3.692048605 0.794034481048584
49.279 3.5756421720000002 0.7690344452857971
49.381 3.416974541 0.744034469127655
49.415 3.418583688 0.744034469127655
49.517 3.45719068 0.744034469127655
49.619 3.321746893 0.7190344333648682
49.687 3.244441927 0.6940344572067261
49.755 3.283907752 0.6940344572067261
49.857 3.128293197 0.669034481048584
49.925 3.047750054 0.6440344452857971
50.027 2.931157017 0.619034469127655
50.095 2.8944055029999998 0.619034469127655
50.163 2.7935587589999997 0.5940344333648682
50.265 2.827598014 0.5940344333648682
50.333 2.557105949 0.544034481048584
50.435 2.588042756 0.544034481048584
50.503 2.620245464 0.544034481048584
50.571 2.588869142 0.544034481048584
50.639 2.484893037 0.5190344452857971
50.741 2.380952338 0.49403443932533264
50.809 2.323524552 0.49403443932533264
50.877 2.205057223 0.46903446316719055
50.945 2.00290559 0.42332378029823303
51.047 1.9661498480000001 0.42332378029823303
51.115 1.9896047000000001 0.42332378029823303
51.183 1.755503587 0.3733237683773041
51.251 1.7761884289999998 0.3733237683773041
51.319 1.699379636 0.3483237624168396
51.387 1.7546227810000001 0.3483237624168396
51.455 1.7388305659999999 0.3233237564563751
51.523 1.8551623739999998 0.3233237564563751
51.625 1.9215768720000002 0.29832378029823303
51.693 1.900344883 0.27332377433776855
51.795 2.012661748 0.27332377433776855
51.863 2.09274233 0.27332377433776855
51.931 2.178775612 0.27332377433776855
52.033 2.08726533 0.24832376837730408
52.101 2.182379694 0.24832376837730408
